sample_SRR6798308	sample_SRR6798310	sample_SRR6798312	sample_SRR6798314	sample_SRR6798316	sample_SRR6798318
ENSBTAG00000000478	0	0.131209	0.172547	0.487324	0	0
ENSBTAG00000000480	14.0449	23.25912	23.07309	30.33853	24.59636	16.14872
ENSBTAG00000000483	7.45556	5.89709	7.86331	8.9912	8.90004	7.69915
ENSBTAG00000000484	23.515252	27.584492	23.992188	21.638325	27.238405	22.922022
ENSBTAG00000000489	15.80534	11.81312	13.45093	16.95063	17.80545	22.43172
ENSBTAG00000000490	45.817413	50.5785780236568	70.764040172729	88.94291	63.2455333	45.1275064
ENSBTAG00000000492	28.74878	27.75474	24.62644	21.80952	27.2685	28.26271
ENSBTAG00000000494	6.208149	6.483026	6.577588	3.385252	6.592687	5.28419
ENSBTAG00000000495	9.47839	4.96985	4.36842	4.07483	4.85008	7.09897
ENSBTAG00000000496	0	0.288166	0.0751762	0.089443	0.093455	0.554283
ENSBTAG00000000497	41.7938	43.561	32.4282	40.6672	42.8102	45.0625
ENSBTAG00000000500	4.92825	5.23948	3.87245	4.5342	4.43098	5.24879
ENSBTAG00000000501	32.890147	38.452068	37.677068	20.912338	33.288987	22.855814
ENSBTAG00000000502	0	0	0.0188279	0	0	0
ENSBTAG00000000504	45.9606	36.3209	40.7455	37.6754	44.101	49.1231
ENSBTAG00000000505	6.01294	4.3116	8.51409	5.15073	7.03046	8.25447
ENSBTAG00000000507	9.130462	9.891515	33.740735	16.0968205	36.439505	24.153132
ENSBTAG00000000510	23.9466	26.5377	26.9894	30.8695	28.2048	25.2846
ENSBTAG00000000511	8.70189	11.01816	9.61768	7.19836	10.49971	9.32158
ENSBTAG00000000512	41.6367	39.5009	38.6424	61.9006	50.0563	59.8294
ENSBTAG00000000516	3.76943	1.31093	1.09017	1.72515	1.75416	4.24809
ENSBTAG00000000517	25.7195	13.3986	16.6004	15.6119	18.5152	12.9815
ENSBTAG00000000518	0	0	0	0	0	0
ENSBTAG00000000520	9.973002	11.0207000001428	16.922829	8.833559	13.112863	5.141922
ENSBTAG00000000521	2.95802	3.139555	3.006605	1.679128	2.077714	2.837035
ENSBTAG00000000522	13.1996	24.1742	35.8145	17.0226	13.9341	12.2744
ENSBTAG00000000524	99.7306	121.646	75.0482	119.296	104.097	87.6317
