sample_ERR2928440	sample_ERR2928435	sample_ERR2928431	sample_ERR2928429	sample_ERR2928424	sample_ERR2928423	sample_ERR2928419	sample_ERR2928417
ENSFDAG00000000342	8.89519	7.95072	7.67414	4.12553	5.10911	6.3411	5.234	3.6875
ENSFDAG00000000343	5.47791	5.191920010469	4.213840921304	2.5443168347	3.22929	2.497129	2.737573	3.100749
ENSFDAG00000000348	72.6713	94.1656	83.1097	107.075	83.4302	75.3669	77.0542	97.9433
ENSFDAG00000000349	22.3401	16.1634	33.2754	19.4866	19.0943	12.7489	17.9537	12.2919
ENSFDAG00000000351	72.1682	68.9107	68.4357	78.3428	69.7759	74.1578	78.9326	78.338
ENSFDAG00000000352	1.7236	3.83566	3.04312	2.86196	3.54799	2.93759	2.4261	5.55563
ENSFDAG00000000353	0	0	0	0	0	0	0	0.368043
ENSFDAG00000000355	30.1469	45.2935	35.1382	46.2216	37.9623	32.7644	40.0933	47.9054
ENSFDAG00000000357	0	0	0	0	0	0	0	0
ENSFDAG00000000360	0	0.241819	0	0	0	0	0	0
ENSFDAG00000000362	79.3287105	96.7988768	109.2741778	155.940301	146.838062	174.38576937	152.19461	162.59506
ENSFDAG00000000363	0.590075	0.496771	0.272856	0.375968	0.477186	1.40286	0.689537	0.358951
ENSFDAG00000000365	2.43885	2.23372	2.49716	1.55392	1.16223	1.27797	2.36647	2.8612
ENSFDAG00000000368	0.501236	0.584279	0.703914	0.827981	0.765649	0.771737	0.667075	0.522701
ENSFDAG00000000371	0	0	0	0	0	0	0.71338	0
ENSFDAG00000000374	12.164	10.3751	10.7007	7.93934	9.97863	9.62927	12.5991	9.28162
ENSFDAG00000000376	28.6017	28.3506	31.8497	32.8522	27.2602	27.358	34.3607	37.131
ENSFDAG00000000377	0	0	0	0	0	0	0	0
ENSFDAG00000000378	0.995156	0.652971	1.041898	0.225423	0.91025	2.58212	0.6100844	0.878769
ENSFDAG00000000380	27.0678	29.7764	21.3301	27.6661	30.669	36.5967	29.8543	27.8268
ENSFDAG00000000381	16.2319	17.5195	11.6757	5.36261	6.56326	10.2907	8.43018	8.46349
ENSFDAG00000000383	857.282	706.029	925.785	773.738	788.906	821.613	731.073	867.941
ENSFDAG00000000385	4.34872	3.9672	3.14748	3.13221	3.4403	5.54826	4.80555	2.66182
ENSFDAG00000000388	0	0	0	0	0	0	0	0
ENSFDAG00000000389	0	0.189714	0	0	0	0	0	0
ENSFDAG00000000390	73.9528	70.4007	102.589	80.888	80.7363	59.5267	92.3594	79.0477
ENSFDAG00000000392	15.4876	19.5154	18.3825	19.1767	20.08	18.553	17.97	20.7934
ENSFDAG00000000394	1.70894	2.36558	1.92619	2.31382	3.04472	2.54656	4.21241	2.42257
ENSFDAG00000000397	0.330245	0.219976	0.087262	0.120238	0.228913	0.3461	0.124043	0
ENSFDAG00000000399	0.292241	0	0	0	0	0	0	0
ENSFDAG00000000401	0	0	0	0	0	0	0	0
ENSFDAG00000000405	3.78473	15.0736	11.6673	6.69848	16.4511	18.8957	14.4659	11.8404
ENSFDAG00000000407	7.16066	5.7787	7.23361	4.21148	9.75516	10.7756	12.7446	5.85896
ENSFDAG00000000411	0	2.63108	1.03186	0	0	1.17013	1.33507	0
ENSFDAG00000000414	41.3859	33.3813	39.9716	35.9998	45.1645	46.4094	36.9062	33.8416
ENSFDAG00000000417	0	0	0	0	0	0	0	0
ENSFDAG00000000418	69.6602	72.1209	72.6209	62.6399	63.7551	74.1149	71.0175	65.1269
ENSFDAG00000000419	211.537	401.335	106.911	131.161	321.281	148.956	224.562	160.49
ENSFDAG00000000424	0.344699	0.393647	0	0.28947	0.291414	0	0.281268	0.192221
ENSFDAG00000000426	79.2407	102.284	83.6341	120.944	98.8368	94.6963	104.761	114.147
ENSFDAG00000000427	0	9.18356	0	0.211603	1.7051	0	0.145532	0
ENSFDAG00000000432	108.4308	98.1959	90.1461	101.0273	130.7931	123.5275	97.2194	103.60356
ENSFDAG00000000433	39.8809	22.8402	31.6231	24.3901	30.2319	33.9782	27.7692	26.7623
ENSFDAG00000000438	1.03999	6.5161	3.12587	20.7074	9.77698	25.1137	5.46883	6.10049
ENSFDAG00000000439	0	0	0	0	0	0	0	0
ENSFDAG00000000441	8.08295	5.2345	2.49176	0.447951	2.178861	3.29428	3.148468	0.549869
ENSFDAG00000000442	27.62122	25.22798	27.791	17.3055	24.5715	25.6524	24.21101	19.38049
ENSFDAG00000000444	65.7387	46.3578	44.5782	35.1693	36.6167	37.0251	37.3739	35.8259
ENSFDAG00000000449	0	0	0	0	0	0	0	0
ENSFDAG00000000451	2.94053	8.96713	3.73926	6.79169	5.63707	9.08461	4.09581	7.76197
ENSFDAG00000000452	79.5216	40.9149	58.0998	47.6201	62.0465	67.6938	41.4897	44.6335
ENSFDAG00000000454	21.37317	25.99741	27.9308	15.4147421	24.79918	17.61102	26.8762	22.53073
ENSFDAG00000000456	118.9751	123.4124	108.87285	106.1925	117.2278	106.5168	114.4727	96.399
ENSFDAG00000000457	14.1137	16.5416	15.8934	20.1712	17.7407	19.5197	15.8245	23.3356
ENSFDAG00000000460	0	0	0	0	0	0	0.121322	0
ENSFDAG00000000462	15.2169	73.0316	9.51134	24.0716	17.5177	9.31863	22.9018	17.5649
ENSFDAG00000000468	6.13118	10.8437000018186	7.5603100225268	10.7765	8.63412218666	7.4587	8.52345	10.693000195613
ENSFDAG00000000470	3.8751	6.29909	4.603	11.0993	6.42561	11.7363	7.9141	16.85
ENSFDAG00000000471	0	0	0	0	0	3.77177	1.3295	0
ENSFDAG00000000475	8.89998	10.0543	6.40179	21.4225	22.325	10.6803	30.8634	20.7966
ENSFDAG00000000477	0	0	0	0	0	0	0	0
ENSFDAG00000000480	233.5156	152.75065	203.699	162.74782	195.3138	202.9822	188.12649	150.76096
ENSFDAG00000000482	0.171866	0	0.158945	0	0	0.210137	0	0.268839
ENSFDAG00000000485	10.3484	6.98376	7.41165	6.04817	7.26747	5.51773	7.43291	6.20716
ENSFDAG00000000488	0	0	0	0	0	0	0	0
ENSFDAG00000000491	0	0	0.153052	0	3.43099e-06	0.202345	0.145042	0
ENSFDAG00000000492	21.2467	27.0014	23.3429	43.1568	28.8734	34.7674	22.1212	34.4843
ENSFDAG00000000494	10.0282	10.5937	12.7521	17.5711	20.1475	22.6067	13.1834	29.9023
ENSFDAG00000000498	21.2917	37.7377	26.9898	35.9873	33.9849	36.3422	28.4443	33.4066
ENSFDAG00000000499	21.82131	20.34159	21.2541	11.8415897	11.6021	21.11615	23.12424	14.62502
ENSFDAG00000000500	0	0	0	0	0	0	0	0
ENSFDAG00000000501	48.0478	41.768	28.7924	24.5222	39.4008	37.3662	22.5947	21.5376
ENSFDAG00000000503	20.9995	18.2451	19.1511	15.2678	14.5864	15.6687	19.6127	11.85
ENSFDAG00000000504	11.3036	16.2907	14.1918	20.16587	20.94133	23.11818	15.85069	14.35951
ENSFDAG00000000506	51.20762	48.7424	44.66992	44.27265	55.15984	57.50116	54.87546	42.73736
ENSFDAG00000000511	77.7048	129.169	89.6553	97.9052	99.5622	96.2298	115.073	113.146
ENSFDAG00000000512	39.8749	53.1532	64.7555	74.3958	60.4041	62.7506	56.8518	56.1066
ENSFDAG00000000514	3.97695	2.98018	9.06355	6.33481	4.65188	6.07816	9.08713	8.66481
ENSFDAG00000000515	6.4439	6.43843	8.08782	7.03843	5.02499	10.1299	8.47134	10.7998
ENSFDAG00000000516	8.67037	8.60953	10.5924	9.41185	8.31007	14.0039	10.6009	7.70216
ENSFDAG00000000517	7.73832	9.13455	7.12635	10.95235	9.98092	10.4196	8.84236	11.032
ENSFDAG00000000518	1.75488	1.34024	1.67891	1.69647	1.17447	1.10982	1.2198	2.08245
ENSFDAG00000000521	1.85561	5.67799	1.71611	2.06904	1.68819	2.83602	4.26902	0.362827
ENSFDAG00000000522	67.6099	74.386	69.0141	84.8047	75.6053	74.9169	76.14	91.3609
ENSFDAG00000000525	31.1883	8.05293	18.4847	14.4444	12.9362	16.7294	10.287	11.4358
ENSFDAG00000000528	13.99486	13.7811	11.73866813	13.3469	10.72271727	12.6781	10.69449156	13.537
ENSFDAG00000000529	125.3292	130.4606	148.4145	141.5485	170.046948	206.8593	144.7638	131.7262
ENSFDAG00000000530	3.859108	22.8949	4.96256	14.7534881	7.21843	6.44854	7.32809	8.317552
ENSFDAG00000000532	42.1993	23.5639	35.3759	17.6937	23.6956	21.7203	11.5128	13.6278
ENSFDAG00000000535	0	0	0	0	0	0	0	0.255427
ENSFDAG00000000538	3.22044	4.53161	3.0349	2.90199	3.87859	4.92195	3.87476	3.49029
ENSFDAG00000000540	155.452	203.986	167.897	223.743	174.223	194.479	196.506	227.134
ENSFDAG00000000543	0.560035	1.30564	0	0.713656	0.67934	0	0.981651	0
ENSFDAG00000000544	77.3795	89.7529	66.9566	91.5271	62.4984	84.0719	59.9273	83.889
ENSFDAG00000000547	35.89067	29.47296	33.8817	33.16931	45.2056	42.22349	33.79667	31.77999
ENSFDAG00000000548	1.0116	3.5376	1.68399	0.773454	1.96337	1.48424	0.70927	2.21534
ENSFDAG00000000551	9.08296	6.60678	10.0801	9.72255	13.3096	12.3493	9.67994	11.48
ENSFDAG00000000552	42.0418	38.0055	37.0296	39.725	46.8349	38.1155	50.8829	30.8685
ENSFDAG00000000554	58.0326	54.1361	51.0445	50.942	62.648	73.4617	59.2225	52.6652
ENSFDAG00000000555	7.53101	12.324	4.95574	15.8716	18.9734	18.9472	18.1509	23.5606
ENSFDAG00000000561	56.4919	32.365	48.0344	36.9336	44.6472	41.3174	45.3519	37.9144
ENSFDAG00000000564	0	0	0	0	0	0.842842	0	0
ENSFDAG00000000565	128.051	150.954	129.137	140.505	136.76	140.124	135.977	133.318
ENSFDAG00000000569	113.191	95.7239	132.671	121.1	100.102	102.132	129.971	99.7326
ENSFDAG00000000570	0	0	0	0	0	0	0	0
ENSFDAG00000000574	42.6232	54.4286	37.7681	34.4814	34.4689	21.2997	32.7254	27.2498
ENSFDAG00000000576	46.0894	63.7816	46.1947	45.1785	46.0643	46.5269	61.6262	43.4417
ENSFDAG00000000579	29.34460147906	27.54511	28.99530239871	32.67048	35.03390504251	34.4312	30.27521	30.35962
ENSFDAG00000000583	71.0036	52.9017	65.5252	65.4909	63.336	66.9945	59.6216	66.8582
ENSFDAG00000000584	244.397	170.91	239.308	164.871	232.685	172.593	253.39	168.677
ENSFDAG00000000587	0	0	0	0	0	0	0	0
ENSFDAG00000000589	0.478018	0.278607	0.44208	0.30457	0.724813	1.02281	0.157104	0
ENSFDAG00000000590	0	0	0	0	0	0	0	0
ENSFDAG00000000592	16.1234	17.2707	11.3849	13.0496	17.1795	17.0497	7.63829	9.88381
ENSFDAG00000000594	8.57888	8.83134	8.55214	5.39507	6.39408	7.35606	8.49514	9.23671
ENSFDAG00000000596	0	0.35994	0	0	0	0	0	0
ENSFDAG00000000598	157.658	198.632	176.191	240.226	207.611	202.999	185.474	251.109
ENSFDAG00000000599	7.4154	9.71683	8.53735	10.1871	9.506	9.02934	8.26224	11.9685
ENSFDAG00000000600	0.757921	1.22662	0.282468	0.57775	0.733801	1.11654	0.799947	0.703965
