sample_SRR13255798	sample_SRR13255824	sample_SRR13255827	sample_SRR13255871	sample_SRR13255875	sample_SRR13255897	sample_SRR13255903	sample_SRR13255906
ENSMOCG00000000266	3.13012	3.83217	3.12113	3.07829	3.22648	3.00962	3.10665	2.89148
ENSMOCG00000000267	18.685	17.5947	16.3184	18.1412	16.5899	18.8277	19.3639	16.2885
ENSMOCG00000000268	91.351	67.6423	64.7886	69.4101	71.8246	98.4968	71.1039	68.6151
ENSMOCG00000000269	12.0591	10.5112	11.678	10.622	10.0865	11.7085	10.7198	11.0615
ENSMOCG00000000270	0.583246	2.27201	1.61991	1.09503	0.454466	0.671372	1.15775	0.714909
ENSMOCG00000000271	0.270363	0.266882	0.300771	0.128628	0.0415208	0.0683099	0.173085	0.172894
ENSMOCG00000000272	40.06608013	68.5007759	65.8883231	44.9165206	47.8094372	45.1893837597	48.5033540546	46.054996761
ENSMOCG00000000273	10.2869	7.37423	9.81797	8.41276	6.34217	8.28889	9.90685	8.50239
ENSMOCG00000000274	3.95328	6.63397	6.22988	6.12043	7.06391	6.44294	7.43938	5.74316
ENSMOCG00000000275	35.4848	74.0786	64.8493	71.0843	67.4416	37.2946	58.1111	54.8196
ENSMOCG00000000276	0	0	0	0	0	0	0	0
ENSMOCG00000000277	19.0253	15.6117	18.241	16.4244	14.3475	19.1253	19.0535	12.5632
ENSMOCG00000000278	179.182	120.819	162.869	168.888	148.921	170.718	171.611	160.95
ENSMOCG00000000279	54.3403	55.00494	50.11401	65.5018	56.96246	40.94044	65.5577	57.98879
ENSMOCG00000000280	0	0	0	0	0	0.0112071	0	0
ENSMOCG00000000281	28.2079	31.5748	32.4102	26.0929	24.3372	30.8626	30.214	24.9198
ENSMOCG00000000282	0.447744	0.799411	0.147089	0.440331	0.426413	0.171799	0.592517	0.118373
ENSMOCG00000000283	94.5316	81.655	86.1207	88.973	95.1326	104.702	101.561	85.1527
ENSMOCG00000000284	0.38016	0.290891	0.674388	0.747731	0.217229	1.40032	0.75462	0.422121
